Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-02-08 23:56:09,false,West Coast,3.26,183,00:17:37,171,192,3.2,157,162,5:24,4:54,15,13,1.18,0,0,--,--,--,--,0,0,0,17:37,0:00,29,0:00,No,01:19.83,4,0
Running,2020-02-04 18:31:24,false,Tanglin to Home,7.63,444,00:42:05,176,192,5,156,170,5:31,4:39,57,49,1.16,0,0,--,--,--,--,0,0,0,42:05,0:00,30,0:00,No,03:12.40,8,0
Other,2020-02-01 19:59:07,false,Table Tennis,0,889,01:59:27,151,176,4.2,9,183,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:59:27,0:00,26,0:00,No,00:00.00,1,0
Running,2020-01-31 23:12:39,false,West Coast,4.6,267,00:26:08,172,195,3.9,152,166,5:41,4:38,8,8,1.15,0,0,--,--,--,--,0,0,0,26:08,0:00,29,0:00,No,03:03.96,5,0
Other,2020-01-30 20:07:05,false,Table Tennis,0,662,01:57:13,123,171,3.3,7,244,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:57:13,0:00,27,0:00,No,00:00.00,1,0
Running,2020-01-25 23:33:30,false,West Coast,3.51,216,00:20:03,175,193,3.6,154,161,5:43,5:04,6,5,1.14,0,0,--,--,--,--,0,0,0,20:03,0:00,29,0:00,No,03:19.19,4,0
Running,2020-01-15 18:18:26,false,Tanglin to Home,7.01,440,00:42:03,174,195,4.9,154,170,6:00,4:50,51,42,1.08,0,0,--,--,--,--,0,0,0,42:03,0:00,30,0:00,No,00:01.40,8,0
Other,2020-01-14 20:26:30,false,Table Tennis,0,752,01:49:01,140,173,3.4,14,178,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:49:01,0:00,26,0:00,No,00:00.00,1,0
Other,2020-01-08 20:09:04,false,Table Tennis,0,847,02:00:23,146,172,3.3,8,196,--,--,--,--,0,0,0,--,--,--,--,0,0,0,2:00:23,0:00,26,0:00,No,00:00.00,1,0
Running,2020-01-07 18:41:36,false,Tanglin to Home,7.25,465,00:49:29,162,177,3.9,152,175,6:50,4:12,61,46,0.96,0,0,--,--,--,--,0,0,0,49:29,0:00,28,0:00,No,01:50.40,8,0
Other,2020-01-04 14:24:31,false,Table Tennis,0,706,01:47:29,137,162,2.8,7,226,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:47:29,0:00,26,0:00,No,00:00.00,1,0
Running,2020-01-02 18:20:46,false,Tanglin to Home,7.51,458,00:43:43,173,190,5,154,167,5:49,4:49,59,58,1.11,0,0,--,--,--,--,0,0,0,43:43,0:00,28,0:00,No,03:02.87,8,0
Other,2019-12-31 14:40:31,false,Table Tennis,0,827,02:17:47,141,171,3.6,13,234,--,--,--,--,0,0,0,--,--,--,--,0,0,0,2:17:47,0:00,29,0:00,No,00:00.00,1,0
Running,2019-12-29 22:20:02,false,West Coast,4.01,236,00:23:13,169,188,3.8,155,163,5:47,5:17,5,7,1.12,0,0,--,--,--,--,0,0,0,23:13,0:00,29,0:00,No,00:02.59,5,0
Other,2019-12-21 13:53:06,false,Table Tennis,0,730,02:01:48,138,186,3.5,9,245,--,--,--,--,0,0,0,--,--,--,--,0,0,0,2:01:48,0:00,25,0:00,No,00:00.00,1,0
Running,2019-12-19 18:49:06,false,Tanglin to Home,7.34,466,00:46:12,172,187,4.9,152,181,6:18,4:56,63,49,1.04,0,0,--,--,--,--,0,0,0,46:12,0:00,28,0:00,No,02:08.17,8,0
Other,2019-12-14 14:40:56,false,Table Tennis,0,779,02:20:28,124,174,3,7,159,--,--,--,--,0,0,0,--,--,--,--,0,0,0,2:20:28,0:00,24,0:00,No,00:00.00,1,0
Other,2019-12-10 20:02:17,false,Table Tennis,0,794,02:11:00,140,177,3.2,11,235,--,--,--,--,0,0,0,--,--,--,--,0,0,0,2:11:00,0:00,25,0:00,No,00:00.00,1,0
Running,2019-12-05 18:40:56,false,Tanglin to Home,7.29,429,00:44:18,171,188,5,154,165,6:05,4:59,60,49,1.07,0,0,--,--,--,--,0,0,0,44:18,0:00,28,0:00,No,01:44.65,8,0
Other,2019-12-01 20:01:47,false,Table Tennis,0,695,01:45:30,146,167,3.3,10,226,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:45:30,0:00,27,0:00,No,00:00.00,1,0
Running,2019-11-28 18:40:51,false,Tanglin to Home,7.52,449,00:47:31,169,190,4.8,152,163,6:19,4:44,64,51,1.04,0,0,--,--,--,--,0,0,0,47:31,0:00,28,0:00,No,03:18.21,8,0
Other,2019-11-26 19:59:26,false,Table Tennis,0,762,01:56:44,141,196,3.6,11,187,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:56:44,0:00,26,0:00,No,00:00.00,1,0
Running,2019-11-25 23:15:58,false,West Coast,4.01,217,00:23:43,169,188,3.6,152,162,5:55,5:15,9,9,1.11,9.4,10.6,289,50.2% L / 49.8% R,--,--,0,0,0,23:43,0:00,28,0:00,No,00:02.86,5,0
Other,2019-11-20 20:03:22,false,Table Tennis,0,908,02:00:06,157,182,4.8,10,154,--,--,--,--,0,0,0,--,--,--,--,0,0,0,2:00:06,0:00,27,0:00,No,00:00.00,1,0
Other,2019-11-17 19:41:52,false,Table Tennis,0,908,02:00:35,162,185,5,8,160,--,--,--,--,0,0,0,--,--,--,--,0,0,0,2:00:35,0:00,28,0:00,No,00:00.00,1,0
Other,2019-11-05 20:07:59,false,Table Tennis,0,507,01:38:55,120,171,3.3,8,210,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:38:55,0:00,27,0:00,No,00:00.00,1,0
Running,2019-11-04 00:08:38,false,West Coast,3.51,182,00:20:20,168,186,3.3,152,157,5:48,5:15,16,13,1.08,9.4,10.4,295,50.6% L / 49.4% R,--,--,0,0,0,20:20,0:00,29,0:00,No,02:56.02,4,0
Other,2019-11-01 16:17:09,false,Table Tennis,0,839,01:43:45,161,194,5,9,158,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:43:45,0:00,31,0:00,No,00:00.00,1,0
